timestamp,unit_id,gps_lat,gps_lon,lidar_dist,battery_soc,torque_fl,torque_fr,torque_rl,torque_rr,ambient_temp,fault_label
2026-06-22 00:00:00,ROVER_01,37.387102,-121.979485,3.286,72.46,7.899,9.458,9.574,10.687,26.02,0
2026-06-22 00:01:00,ROVER_18,37.392078,-121.958254,2.843,57.83,3.922,8.088,5.485,4.936,19.68,0
2026-06-22 00:02:00,ROVER_11,37.395329,-121.966144,3.569,59.29,10.364,9.169,10.114,10.455,23.05,0
2026-06-22 00:03:00,ROVER_20,37.394625,-121.978246,3.284,70.02,5.074,10.203,6.993,8.247,20.36,0
2026-06-22 00:04:00,ROVER_12,37.392388,-121.964007,1.909,56.78,9.004,8.305,8.141,9.586,29.57,0
2026-06-22 00:05:00,ROVER_18,37.38918,-121.963307,2.73,68.58,9.924,11.914,12.688,14.024,20.64,0
2026-06-22 00:06:00,ROVER_07,37.381882,-121.980316,2.547,82.28,10.913,8.704,9.349,7.027,18.59,0
2026-06-22 00:07:00,ROVER_08,37.392956,-121.972092,3.055,42.83,10.449,12.325,13.024,9.895,21.19,0
2026-06-22 00:08:00,ROVER_15,37.361324,-121.976843,2.907,69.46,6.938,8.02,8.898,8.708,22.12,0
2026-06-22 00:09:00,ROVER_15,37.4035,-121.971674,0.901,60.41,8.487,11.917,11.571,11.241,19.01,0
2026-06-22 00:10:00,ROVER_12,37.388478,-121.984413,2.032,71.3,12.66,16.081,13.077,14.704,17.48,0
2026-06-22 00:11:00,ROVER_02,37.388242,-121.959076,3.616,89.42,9.548,12.579,13.182,11.388,13.78,0
2026-06-22 00:12:00,ROVER_17,37.394797,-121.979536,3.967,72.44,8.75,7.896,14.28,8.799,19.66,0
2026-06-22 00:13:00,ROVER_04,37.387548,-121.968363,3.134,86.89,9.599,9.557,9.189,10.039,24.52,0
2026-06-22 00:14:00,ROVER_17,37.38862,-121.957172,3.416,69.78,12.818,10.997,14.036,13.932,20.96,0
2026-06-22 00:15:00,ROVER_14,37.381229,-121.963841,3.996,40.63,11.293,15.317,13.969,13.295,21.72,1
2026-06-22 00:16:00,ROVER_18,37.377572,-121.968678,3.597,65.97,12.124,14.097,11.425,18.298,29.95,0
2026-06-22 00:17:00,ROVER_03,37.404891,-121.980674,3.798,76.68,12.165,12.052,11.213,11.858,23.64,0
2026-06-22 00:18:00,ROVER_15,37.384107,-121.956933,1.611,64.79,6.705,8.566,9.155,10.462,26.93,0
2026-06-22 00:19:00,ROVER_11,37.399902,-121.967343,4.43,14.52,29.579,27.232,26.853,24.529,19.78,1
2026-06-22 00:20:00,ROVER_04,37.399622,-121.976659,2.892,64.24,14.903,12.621,13.3,13.67,31.43,0
2026-06-22 00:21:00,ROVER_09,37.375662,-121.962911,3.663,63.96,9.432,4.801,11.412,10.599,23.95,0
2026-06-22 00:22:00,ROVER_09,37.393738,-121.965149,3.251,78.19,10.87,8.071,8.956,12.005,23.08,0
2026-06-22 00:23:00,ROVER_18,37.382995,-121.957948,2.839,75.47,11.542,9.938,10.676,9.182,19.13,0
2026-06-22 00:24:00,ROVER_09,37.379899,-121.972258,2.859,72.06,4.143,7.55,6.62,9.103,34.23,0
2026-06-22 00:25:00,ROVER_15,37.377487,-121.975371,3.019,73.92,12.644,12.09,14.016,14.082,22.6,0
2026-06-22 00:26:00,ROVER_10,37.372158,-121.954521,2.96,72.22,8.923,6.455,5.939,4.31,20.26,0
2026-06-22 00:27:00,ROVER_05,37.394065,-121.975306,4.224,82.06,12.756,12.833,14.448,11.681,18.96,0
2026-06-22 00:28:00,ROVER_08,37.385645,-121.954501,4.019,91.67,10.516,12.019,9.82,10.434,32.38,0
2026-06-22 00:29:00,ROVER_01,37.382099,-121.980514,3.299,66.98,9.027,8.149,10.274,11.154,20.27,0
2026-06-22 00:30:00,ROVER_09,37.398621,-121.948909,5.454,37.44,10.086,8.32,11.004,7.642,23.65,1
2026-06-22 00:31:00,ROVER_09,37.39779,-121.969054,2.819,41.03,3.964,7.167,6.258,3.926,29.1,0
2026-06-22 00:32:00,ROVER_20,37.379912,-121.954133,2.336,65.61,10.313,7.854,9.604,9.973,27.75,0
2026-06-22 00:33:00,ROVER_06,37.381171,-121.977617,2.993,67.59,10.817,7.352,8.215,7.687,25.18,0
2026-06-22 00:34:00,ROVER_16,37.39438,-121.996405,1.831,66.06,11.232,8.58,8.614,10.115,22.91,0
2026-06-22 00:35:00,ROVER_07,37.389349,-121.969542,2.889,88.52,8.741,11.866,9.095,10.092,19.18,0
2026-06-22 00:36:00,ROVER_05,37.386913,-121.972876,1.628,68.16,13.455,14.171,15.849,11.997,23.82,0
2026-06-22 00:37:00,ROVER_04,37.370188,-121.967142,0.935,45.94,1.865,5.541,2.635,3.596,18.18,0
2026-06-22 00:38:00,ROVER_18,37.381949,-121.970037,2.331,78.57,7.193,9.62,12.627,8.96,24.36,0
2026-06-22 00:39:00,ROVER_10,37.38838,-121.962996,2.796,72.81,12.918,12.317,12.573,10.564,26.28,0
2026-06-22 00:40:00,ROVER_02,37.390297,-121.961942,2.403,84.42,5.23,8.159,6.554,9.411,24.17,0
2026-06-22 00:41:00,ROVER_14,37.371679,-121.975874,1.375,77.87,7.7,6.129,7.745,6.302,16.19,0
2026-06-22 00:42:00,ROVER_15,37.412087,-121.985609,2.629,36.06,5.085,7.664,7.091,6.929,21.65,0
2026-06-22 00:43:00,ROVER_11,37.389623,-121.96336,2.221,69.03,7.239,10.063,10.692,11.926,24.76,0
2026-06-22 00:44:00,ROVER_12,37.388108,-121.968279,2.939,72.15,12.437,13.33,10.448,12.341,29.65,0
2026-06-22 00:45:00,ROVER_07,37.37999,-121.970323,6.502,26.87,26.765,27.461,26.421,26.567,30.1,1
2026-06-22 00:46:00,ROVER_19,37.376394,-121.994616,3.766,49.07,15.137,13.597,13.583,14.493,14.35,0
2026-06-22 00:47:00,ROVER_04,37.3912,-121.984378,3.252,85.89,8.92,9.258,9.21,7.875,26.79,0
2026-06-22 00:48:00,ROVER_12,37.375129,-121.986136,2.175,63.75,5.337,8.866,11.913,7.534,22.63,0
2026-06-22 00:49:00,ROVER_19,37.385247,-121.952593,2.702,71.1,10.891,9.642,12.104,11.389,24.83,0
2026-06-22 00:50:00,ROVER_06,37.378167,-121.971268,3.647,67.36,3.16,3.216,4.294,5.318,27.46,0
2026-06-22 00:51:00,ROVER_18,37.388285,-121.987297,2.262,57.4,9.714,10.762,12.618,9.669,30.19,0
2026-06-22 00:52:00,ROVER_17,37.368752,-121.943944,2.768,54.73,7.908,7.833,9.92,6.551,31.55,0
2026-06-22 00:53:00,ROVER_06,37.393383,-121.956711,4.053,64.68,8.242,13.074,9.913,9.853,28.53,0
2026-06-22 00:54:00,ROVER_18,37.389637,-121.96982,3.223,79.74,13.279,14.027,13.317,15.238,24.31,0
2026-06-22 00:55:00,ROVER_11,37.388802,-121.969024,2.67,83.94,9.964,13.218,12.278,12.134,24.94,0
2026-06-22 00:56:00,ROVER_10,37.393997,-121.968148,2.704,53.46,5.39,6.808,5.124,7.63,21.72,0
2026-06-22 00:57:00,ROVER_14,37.38275,-121.958904,2.165,48.99,11.607,12.472,14.076,12.449,26.58,0
2026-06-22 00:58:00,ROVER_01,37.374666,-121.963686,4.597,34.96,18.028,17.206,16.395,16.962,27.9,1
2026-06-22 00:59:00,ROVER_19,37.375165,-121.99176,3.455,51.23,3.441,6.333,5.554,6.714,27.7,0
2026-06-22 01:00:00,ROVER_19,37.396963,-121.97711,3.133,55.47,8.731,6.484,7.643,5.474,17.94,0
2026-06-22 01:01:00,ROVER_20,37.38749,-121.967623,2.639,95.71,1.769,5.685,3.438,3.391,25.42,0
2026-06-22 01:02:00,ROVER_16,37.376771,-121.973284,5.68,59.02,6.015,6.595,4.61,3.829,26.4,0
2026-06-22 01:03:00,ROVER_06,37.380106,-121.958511,9.182,31.12,19.202,19.697,21.314,19.182,35.87,1
2026-06-22 01:04:00,ROVER_17,37.387718,-121.972428,2.348,79.38,14.024,12.154,12.191,12.962,24.58,0
2026-06-22 01:05:00,ROVER_05,37.397148,-121.976713,2.614,65.56,13.707,14.111,14.931,12.247,22.01,0
2026-06-22 01:06:00,ROVER_04,37.382647,-121.970801,2.457,44.96,14.76,16.092,19.325,17.622,23.54,1
